jobId,name,submissionTime,completionTime,stageIds,jobTags,status,numTasks,numActiveTasks,numCompletedTasks,numSkippedTasks,numFailedTasks,numKilledTasks,numCompletedIndices,numActiveStages,numCompletedStages,numSkippedStages,numFailedStages,jobDurationSeconds,jobDurationMinutes
30,approxQuantile at NativeMethodAccessorImpl.java:0,2026-03-03 22:04:27.621,2026-03-03 22:04:32.575,"[48, 49]",[],SUCCEEDED,30,0,30,0,0,0,30,0,2,0,0,4.954,0.08256666666666666
29,count at NativeMethodAccessorImpl.java:0,2026-03-03 22:04:27.504,2026-03-03 22:04:27.546,"[46, 47]",[],SUCCEEDED,26,0,1,25,0,0,1,0,1,1,0,0.042,0.0007
28,count at NativeMethodAccessorImpl.java:0,2026-03-03 22:04:26.887,2026-03-03 22:04:27.487,[45],[],SUCCEEDED,25,0,25,0,0,0,25,0,1,0,0,0.6,0.01
27,approxQuantile at NativeMethodAccessorImpl.java:0,2026-03-03 22:04:24.156,2026-03-03 22:04:26.664,"[43, 44]",[],SUCCEEDED,30,0,30,0,0,0,30,0,2,0,0,2.508,0.0418
26,count at NativeMethodAccessorImpl.java:0,2026-03-03 22:04:24.039,2026-03-03 22:04:24.102,"[42, 41]",[],SUCCEEDED,26,0,1,25,0,0,1,0,1,1,0,0.063,0.00105
25,count at NativeMethodAccessorImpl.java:0,2026-03-03 22:04:23.445,2026-03-03 22:04:24.023,[40],[],SUCCEEDED,25,0,25,0,0,0,25,0,1,0,0,0.578,0.009633333333333332
24,approxQuantile at NativeMethodAccessorImpl.java:0,2026-03-03 22:04:20.399,2026-03-03 22:04:23.234,"[38, 39]",[],SUCCEEDED,30,0,30,0,0,0,30,0,2,0,0,2.835,0.04725
23,count at NativeMethodAccessorImpl.java:0,2026-03-03 22:04:20.283,2026-03-03 22:04:20.332,"[37, 36]",[],SUCCEEDED,26,0,1,25,0,0,1,0,1,1,0,0.049,0.0008166666666666667
22,count at NativeMethodAccessorImpl.java:0,2026-03-03 22:04:19.732,2026-03-03 22:04:20.265,[35],[],SUCCEEDED,25,0,25,0,0,0,25,0,1,0,0,0.533,0.008883333333333333
21,approxQuantile at NativeMethodAccessorImpl.java:0,2026-03-03 22:04:14.955,2026-03-03 22:04:19.480,"[33, 34]",[],SUCCEEDED,30,0,30,0,0,0,30,0,2,0,0,4.525,0.07541666666666667
20,count at NativeMethodAccessorImpl.java:0,2026-03-03 22:04:14.796,2026-03-03 22:04:14.851,"[31, 32]",[],SUCCEEDED,26,0,1,25,0,0,1,0,1,1,0,0.055,0.0009166666666666666
19,count at NativeMethodAccessorImpl.java:0,2026-03-03 22:04:14.344,2026-03-03 22:04:14.777,[30],[],SUCCEEDED,25,0,25,0,0,0,25,0,1,0,0,0.433,0.007216666666666666
18,approxQuantile at NativeMethodAccessorImpl.java:0,2026-03-03 22:04:11.215,2026-03-03 22:04:14.221,"[28, 29]",[],SUCCEEDED,30,0,30,0,0,0,30,0,2,0,0,3.006,0.0501
17,count at NativeMethodAccessorImpl.java:0,2026-03-03 22:04:11.061,2026-03-03 22:04:11.152,"[27, 26]",[],SUCCEEDED,26,0,1,25,0,0,1,0,1,1,0,0.091,0.0015166666666666666
16,count at NativeMethodAccessorImpl.java:0,2026-03-03 22:04:10.485,2026-03-03 22:04:11.031,[25],[],SUCCEEDED,25,0,25,0,0,0,25,0,1,0,0,0.546,0.0091
15,approxQuantile at NativeMethodAccessorImpl.java:0,2026-03-03 22:04:06.490,2026-03-03 22:04:10.267,"[24, 23]",[],SUCCEEDED,30,0,30,0,0,0,30,0,2,0,0,3.777,0.06295
14,count at NativeMethodAccessorImpl.java:0,2026-03-03 22:04:06.346,2026-03-03 22:04:06.401,"[21, 22]",[],SUCCEEDED,26,0,1,25,0,0,1,0,1,1,0,0.055,0.0009166666666666666
13,count at NativeMethodAccessorImpl.java:0,2026-03-03 22:04:05.764,2026-03-03 22:04:06.323,[20],[],SUCCEEDED,25,0,25,0,0,0,25,0,1,0,0,0.559,0.009316666666666668
12,approxQuantile at NativeMethodAccessorImpl.java:0,2026-03-03 22:04:00.577,2026-03-03 22:04:05.488,"[19, 18]",[],SUCCEEDED,30,0,30,0,0,0,30,0,2,0,0,4.911,0.08184999999999999
11,count at NativeMethodAccessorImpl.java:0,2026-03-03 22:04:00.329,2026-03-03 22:04:00.411,"[16, 17]",[],SUCCEEDED,26,0,1,25,0,0,1,0,1,1,0,0.082,0.0013666666666666666
10,count at NativeMethodAccessorImpl.java:0,2026-03-03 22:03:59.456,2026-03-03 22:04:00.300,[15],[],SUCCEEDED,25,0,25,0,0,0,25,0,1,0,0,0.844,0.014066666666666667
9,approxQuantile at NativeMethodAccessorImpl.java:0,2026-03-03 22:03:50.124,2026-03-03 22:03:58.214,"[13, 14]",[],SUCCEEDED,30,0,30,0,0,0,30,0,2,0,0,8.09,0.13483333333333333
8,count at NativeMethodAccessorImpl.java:0,2026-03-03 22:03:49.114,2026-03-03 22:03:49.180,"[12, 10, 11]",[],SUCCEEDED,51,0,1,50,0,0,1,0,1,2,0,0.066,0.0011
7,count at NativeMethodAccessorImpl.java:0,2026-03-03 22:03:26.462,2026-03-03 22:03:49.072,"[9, 8]",[],SUCCEEDED,50,0,25,25,0,0,25,0,1,1,0,22.61,0.3768333333333333
6,count at NativeMethodAccessorImpl.java:0,2026-03-03 22:02:14.605,2026-03-03 22:03:26.287,[7],[],SUCCEEDED,25,0,25,0,0,0,25,0,1,0,0,71.682,1.1947
5,count at NativeMethodAccessorImpl.java:0,2026-03-03 22:02:13.154,2026-03-03 22:02:13.339,"[5, 6]",[],SUCCEEDED,26,0,1,25,0,0,1,0,1,1,0,0.185,0.0030833333333333333
4,count at NativeMethodAccessorImpl.java:0,2026-03-03 22:02:04.277,2026-03-03 22:02:13.063,[4],[],SUCCEEDED,25,0,25,0,0,0,25,0,1,0,0,8.786,0.14643333333333333
3,showString at NativeMethodAccessorImpl.java:0,2026-03-03 22:02:02.656,2026-03-03 22:02:03.481,[3],[],SUCCEEDED,1,0,1,0,0,0,1,0,1,0,0,0.825,0.01375
2,showString at NativeMethodAccessorImpl.java:0,2026-03-03 21:55:23.723,2026-03-03 22:02:02.498,[2],[],SUCCEEDED,25,0,25,0,0,0,25,0,1,0,0,398.775,6.646249999999999
1,showString at NativeMethodAccessorImpl.java:0,2026-03-03 21:55:20.645,2026-03-03 21:55:20.947,[1],[],SUCCEEDED,1,0,1,0,0,0,1,0,1,0,0,0.302,0.005033333333333333
0,showString at NativeMethodAccessorImpl.java:0,2026-03-03 21:53:42.569,2026-03-03 21:55:20.279,[0],[],SUCCEEDED,25,0,25,0,0,0,25,0,1,0,0,97.71,1.6284999999999998
