jobId,name,submissionTime,completionTime,stageIds,jobTags,status,numTasks,numActiveTasks,numCompletedTasks,numSkippedTasks,numFailedTasks,numKilledTasks,numCompletedIndices,numActiveStages,numCompletedStages,numSkippedStages,numFailedStages
28,count at NativeMethodAccessorImpl.java:0,2026-03-03T22:04:26.887GMT,2026-03-03T22:04:27.487GMT,[45],[],SUCCEEDED,25,0,25,0,0,0,25,0,1,0,0
27,approxQuantile at NativeMethodAccessorImpl.java:0,2026-03-03T22:04:24.156GMT,2026-03-03T22:04:26.664GMT,"[43, 44]",[],SUCCEEDED,30,0,30,0,0,0,30,0,2,0,0
26,count at NativeMethodAccessorImpl.java:0,2026-03-03T22:04:24.039GMT,2026-03-03T22:04:24.102GMT,"[42, 41]",[],SUCCEEDED,26,0,1,25,0,0,1,0,1,1,0
25,count at NativeMethodAccessorImpl.java:0,2026-03-03T22:04:23.445GMT,2026-03-03T22:04:24.023GMT,[40],[],SUCCEEDED,25,0,25,0,0,0,25,0,1,0,0
24,approxQuantile at NativeMethodAccessorImpl.java:0,2026-03-03T22:04:20.399GMT,2026-03-03T22:04:23.234GMT,"[38, 39]",[],SUCCEEDED,30,0,30,0,0,0,30,0,2,0,0
23,count at NativeMethodAccessorImpl.java:0,2026-03-03T22:04:20.283GMT,2026-03-03T22:04:20.332GMT,"[37, 36]",[],SUCCEEDED,26,0,1,25,0,0,1,0,1,1,0
22,count at NativeMethodAccessorImpl.java:0,2026-03-03T22:04:19.732GMT,2026-03-03T22:04:20.265GMT,[35],[],SUCCEEDED,25,0,25,0,0,0,25,0,1,0,0
21,approxQuantile at NativeMethodAccessorImpl.java:0,2026-03-03T22:04:14.955GMT,2026-03-03T22:04:19.480GMT,"[33, 34]",[],SUCCEEDED,30,0,30,0,0,0,30,0,2,0,0
20,count at NativeMethodAccessorImpl.java:0,2026-03-03T22:04:14.796GMT,2026-03-03T22:04:14.851GMT,"[31, 32]",[],SUCCEEDED,26,0,1,25,0,0,1,0,1,1,0
19,count at NativeMethodAccessorImpl.java:0,2026-03-03T22:04:14.344GMT,2026-03-03T22:04:14.777GMT,[30],[],SUCCEEDED,25,0,25,0,0,0,25,0,1,0,0
18,approxQuantile at NativeMethodAccessorImpl.java:0,2026-03-03T22:04:11.215GMT,2026-03-03T22:04:14.221GMT,"[28, 29]",[],SUCCEEDED,30,0,30,0,0,0,30,0,2,0,0
17,count at NativeMethodAccessorImpl.java:0,2026-03-03T22:04:11.061GMT,2026-03-03T22:04:11.152GMT,"[27, 26]",[],SUCCEEDED,26,0,1,25,0,0,1,0,1,1,0
16,count at NativeMethodAccessorImpl.java:0,2026-03-03T22:04:10.485GMT,2026-03-03T22:04:11.031GMT,[25],[],SUCCEEDED,25,0,25,0,0,0,25,0,1,0,0
15,approxQuantile at NativeMethodAccessorImpl.java:0,2026-03-03T22:04:06.490GMT,2026-03-03T22:04:10.267GMT,"[24, 23]",[],SUCCEEDED,30,0,30,0,0,0,30,0,2,0,0
14,count at NativeMethodAccessorImpl.java:0,2026-03-03T22:04:06.346GMT,2026-03-03T22:04:06.401GMT,"[21, 22]",[],SUCCEEDED,26,0,1,25,0,0,1,0,1,1,0
13,count at NativeMethodAccessorImpl.java:0,2026-03-03T22:04:05.764GMT,2026-03-03T22:04:06.323GMT,[20],[],SUCCEEDED,25,0,25,0,0,0,25,0,1,0,0
12,approxQuantile at NativeMethodAccessorImpl.java:0,2026-03-03T22:04:00.577GMT,2026-03-03T22:04:05.488GMT,"[19, 18]",[],SUCCEEDED,30,0,30,0,0,0,30,0,2,0,0
11,count at NativeMethodAccessorImpl.java:0,2026-03-03T22:04:00.329GMT,2026-03-03T22:04:00.411GMT,"[16, 17]",[],SUCCEEDED,26,0,1,25,0,0,1,0,1,1,0
10,count at NativeMethodAccessorImpl.java:0,2026-03-03T22:03:59.456GMT,2026-03-03T22:04:00.300GMT,[15],[],SUCCEEDED,25,0,25,0,0,0,25,0,1,0,0
9,approxQuantile at NativeMethodAccessorImpl.java:0,2026-03-03T22:03:50.124GMT,2026-03-03T22:03:58.214GMT,"[13, 14]",[],SUCCEEDED,30,0,30,0,0,0,30,0,2,0,0
8,count at NativeMethodAccessorImpl.java:0,2026-03-03T22:03:49.114GMT,2026-03-03T22:03:49.180GMT,"[12, 10, 11]",[],SUCCEEDED,51,0,1,50,0,0,1,0,1,2,0
7,count at NativeMethodAccessorImpl.java:0,2026-03-03T22:03:26.462GMT,2026-03-03T22:03:49.072GMT,"[9, 8]",[],SUCCEEDED,50,0,25,25,0,0,25,0,1,1,0
6,count at NativeMethodAccessorImpl.java:0,2026-03-03T22:02:14.605GMT,2026-03-03T22:03:26.287GMT,[7],[],SUCCEEDED,25,0,25,0,0,0,25,0,1,0,0
5,count at NativeMethodAccessorImpl.java:0,2026-03-03T22:02:13.154GMT,2026-03-03T22:02:13.339GMT,"[5, 6]",[],SUCCEEDED,26,0,1,25,0,0,1,0,1,1,0
4,count at NativeMethodAccessorImpl.java:0,2026-03-03T22:02:04.277GMT,2026-03-03T22:02:13.063GMT,[4],[],SUCCEEDED,25,0,25,0,0,0,25,0,1,0,0
3,showString at NativeMethodAccessorImpl.java:0,2026-03-03T22:02:02.656GMT,2026-03-03T22:02:03.481GMT,[3],[],SUCCEEDED,1,0,1,0,0,0,1,0,1,0,0
2,showString at NativeMethodAccessorImpl.java:0,2026-03-03T21:55:23.723GMT,2026-03-03T22:02:02.498GMT,[2],[],SUCCEEDED,25,0,25,0,0,0,25,0,1,0,0
1,showString at NativeMethodAccessorImpl.java:0,2026-03-03T21:55:20.645GMT,2026-03-03T21:55:20.947GMT,[1],[],SUCCEEDED,1,0,1,0,0,0,1,0,1,0,0
0,showString at NativeMethodAccessorImpl.java:0,2026-03-03T21:53:42.569GMT,2026-03-03T21:55:20.279GMT,[0],[],SUCCEEDED,25,0,25,0,0,0,25,0,1,0,0
